0,1
"Al 2035, ningún departamento de los principales aglomerados urbano",
(33 en total) tiene un índice de riesgo hídrico mayor a 50.,
"Al 2023, se garantiza la continuidad del ""Programa de Infraestructura Hidráulica para Adaptación a los extremos climáticos"" y la asistencia técnica y financiera que por este medio se ofrece para proteger las zonas intervenidas de la erosión o de posibles inundaciones generadas por los cuerpos de agua presentes, en áreas críticas; a través de obras hidráulicas, hídricas y/o concesiones, que promuevan adaptación a los extremos climáticos, mitigación de inundaciones y riesgos hídricos y protección de infraestructura, y que sean presentadas por las jurisdicciones provinciales y municipales. Al 2025, se determinan las brechas de infraestructura provincial y municipal. Al 2035, ningún departamento de los principales aglomerados urbanos (33 en total) tiene un índice de riesgo hídrico mayor a 50.",
"Al 2025, se determinan las brechas de infraestructura provincial y",
municipal.,
,las vías de acceso por inundaciones y aludes.
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
Autoridad de aplicación,"Ministerio de Desarrollo Territorial y Hábitat\nSecretaría de Infraestructura y Política Hídrica, Ministerio de Obras\nPúblicas"
Estado de implementación,En implementación avanzada
Período de ejecución,2022 - 2030
Estimación de gastos al 2030,La brecha de Riesgo Hídrico es de7.693 M de USD. Es lo que permitiría\nal 2035 reducir significativamente el riesgo de inundaciones urbanas\npor macrodrenaje en los departamentos  (correspondientes a los\nprincipales 33 aglomerados urbanos) con alto índice de riesgo (mayor a\n50).
Financiamiento,Tesoro nacional\nFondo hídrico de Infraestructura\nFuentes internacionales
Instrumentos y herramientas de implementación,"Resolución 38/2022 (RESOL-2022-38-APN-MOP); Programa de\ninfraestructura hidráulica para la adaptación a los extremos\nclimáticos.\nLey de Obras Públicas N° 13064, Decreto 691/2016. Régimen de\nRedeterminación de Precios de Contratos de Obra Pública y de\nConsultoría de Obra Pública.\nConvenios con otros ejecutores (DTyH)."
,(RESOL-2022-38-APN-MOP)
Necesidades y,Necesidad de Relevamientos Actualizados y Diagnósticos
"Resolución 38/2022 (RESOL-2022-38-APN-MOP); Programa de infraestructura hidráulica para la adaptación a los extremos climáticos. Ley de Obras Públicas N° 13064, Decreto 691/2016. Régimen de Redeterminación de Precios de Contratos de Obra Pública y de Consultoría de Obra Pública. Convenios con otros ejecutores (DTyH).",
(RESOL-2022-38-APN-MOP),
barreras,"regulares que permitan tener información confiable y actualizada.\nNecesidad de planificar demanda por Provincia.\nNecesidad de contar con información cruzada de distintas fuentes\noficiales para obtener diagnósticos confiables.\nNecesidad de una mayor articulación con entidades nacionales,\nprovinciales y municipales, públicas y privadas.\nIrregularidad dominial del suelo donde están asentadas las\nviviendas a ser servidas."
Indicadores para el monitoreo,Cantidad de hogares alcanzados\nCantidad de proyectos/obras ejecutados\nCantidad de proyectos aprobados
Análisis enfoque de género y diversidad,Potencialmente transformadora de las brechas de género.
Análisis enfoque de gestión integral del riesgo,Medida que genera reducción del riesgo climático.
Análisis enfoque de salud,"Medida que genera beneficios para la salud dado que promueve el\ndesarrollo de infraestructura para la prevención de inundaciones\nurbanas. Además, esta medida contribuye a la accesibilidad al sistema\nde salud aun en ocasión de precipitaciones extremas."
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,No se identifican sinergias ni concesiones con la reducción de\nemisiones del sector.
Relación con la Ley 27.520,Capítulo III: Plan Nacional de Adaptación y Mitigación al Cambio\nClimático. Artículo 19. Inc. c).
,Capítulo IV: Medidas y Acciones Mínimas de Adaptación. Artículo 22.\nInc. c) y d).
Medida,[TS-11] Regularizar redes de distribución de energía eléctrica
Descripción,"Instalación,mejoramientoy ampliación de redes dedistribución de\nenergía eléctrica."
Metas,A definir
Alcance geográfico o poblacional,Nacional. Urbano y rural.
"Adaptación, mitigación o pérdidas y daños",Adaptación
Riesgos climáticos asociados,"Elfortalecimientodelasredesdedistribucióndeenergíaeléctrica\nexistentes favorece al aumento de acceso a energía de la población\nurbana y rural. Por este motivo, disminuye el riesgo de afectación a la\nsalud y confort de la población urbana por cortes en el suministro de\nenergía eléctrica debido a efectos nocivos sobre la infraestructura de\nlas redes de transmisión y distribución asociados a olas de calor."
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
Autoridad de aplicación,Ministerio de Desarrollo Territorial y Hábitat
Estado de implementación,En implementación avanzada
Período de ejecución,2022 - 2030
Estimación de gastos al 2030,A definir
Financiamiento,Tesoro Nacional\nFuentes internacionales
Instrumentos y herramientas de implementación,"Convenios con IPV, municipios y otros entes ejecutores."
Necesidades y barreras,"NecesidaddeRelevamientosActualizadosyDiagnósticos\nregulares que permitan tener información confiable y actualizada.\nNecesidad de planificar demanda por Provincia.\nNecesidad de contar con información cruzada de distintas fuentes\noficiales para obtener diagnósticos confiables.\nNecesidad de una mayor articulación con entidades nacionales,\nprovincialesymunicipales,públicasyprivadas(Cooperativas\nEléctricas, prestatarias).\nIrregularidaddominialdelsuelodondeestánasentadaslas\nviviendas a ser servidas.\nIncongruencia entre las categorizaciones de suelo y la realidad."
Indicadores para el monitoreo,Cantidad de hogares conectados al final del proyecto\nCantidaddelotesfrentistasconserviciodisponibleenlínea\nmunicipal  al fin del proyecto\nCantidad de metros de redes\nCantidad de proyectos en ejecución y/o ejecutados
Análisis enfoque de género y diversidad,No reportan impactos relativos al género.
Análisis enfoque de gestión integral del,Medida que genera reducción del riesgo climático.
riesgo,
Análisis enfoque de salud,"Medidaquegenerabeneficiosparalasaluddebidoaquereduce\nriesgos para la salud de olas de calor y frío, garantiza el suministro\neléctrico a personas electrodependientes o con internación domiciliaria\ny permite que el sistema de salud se mantenga operativo."
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,No se identifican sinergias ni concesiones con la reducción de\nemisiones del sector.
Relación con la Ley 27.520,Capítulo IV: Medidas y Acciones Mínimas de Adaptación. Artículo 22.\nInc. d) y e).
Medida,[TS-12] Incorporar la perspectiva climática en los parámetros de\ndiseño de obras futuras
,[TS-12] Incorporar la perspectiva climática en los parámetros de
,diseño de obras futuras
Descripción,"Fortalecimiento e incorporación de la perspectiva climática en las\ndistintas tipologías de obras del Ministerio de Obras Públicas, tanto\npara el monitoreo de su cartera como para el diseño, evaluación y\nejecución de las obras futuras."
Metas,"Al 2023, se elabora un sistema de etiquetado de obras y/o proyectos\npara establecer criterios que faciliten la priorización de nuevos\nproyectos y la evaluación de proyectos ejecutados.\nAl 2025:\nSe incorpora la perspectiva climática desde la etapa de diseño\nen las obras de nuevas presas.\nEl 40% de los proyectos de la Dirección Nacional de Vialidad\nincorporan la perspectiva climática desde su diseño.\nAl 2030:\nTodas las obras de infraestructura incorporan la variable\nclimática en sus parámetros de diseño y en su evaluación.\nSe fijan niveles constructivos de las instalaciones por sobre\nNiveles de inundación recrecidos en el Río de la Plata por\nefecto del cambio climático.\nSe asegura en el diseño de las futuras obras de AySA las\nmedidas tendientes a la eficiencia energética  tanto de los\nequipos como de las instalaciones."
,"Al 2023, se elabora un sistema de etiquetado de obras y/o proyectos"
,para establecer criterios que faciliten la priorización de nuevos
,proyectos y la evaluación de proyectos ejecutados.
,Al 2030
,Todas las obras de infraestructura incorporan la variable
,limática en sus parámetros de diseño y en su evaluación.
,
,
Alcance geográfico o poblacional,Nacional
"Adaptación, mitigación o pérdidas y daños",Adaptación
Riesgos climáticos asociados,"La consideración de proyecciones climáticas en las obras de\ninfraestructura disminuye los riesgos vinculados a las afectaciones a la\nsalud por inundaciones, por menor disponibilidad de agua y por cortes\nen el suministro de energía, así como también los riesgos vinculados a"
[TS-12] Incorporar la perspectiva climática en los parámetros de diseño de obras futuras,
[TS-12] Incorporar la perspectiva climática en los parámetros de,
diseño de obras futuras,
"Al 2023, se elabora un sistema de etiquetado de obras y/o proyectos para establecer criterios que faciliten la priorización de nuevos proyectos y la evaluación de proyectos ejecutados. Al 2025: Se incorpora la perspectiva climática desde la etapa de diseño en las obras de nuevas presas. El 40% de los proyectos de la Dirección Nacional de Vialidad incorporan la perspectiva climática desde su diseño. Al 2030: Todas las obras de infraestructura incorporan la variable climática en sus parámetros de diseño y en su evaluación. Se fijan niveles constructivos de las instalaciones por sobre Niveles de inundación recrecidos en el Río de la Plata por efecto del cambio climático. Se asegura en el diseño de las futuras obras de AySA las medidas tendientes a la eficiencia energética  tanto de los equipos como de las instalaciones.",
,
"Al 2023, se elabora un sistema de etiquetado de obras y/o proyectos para establecer criterios que faciliten la priorización de nuevos proyectos y la evaluación de proyectos ejecutados. Al 2025: Se incorpora la perspectiva climática desde la etapa de diseño en las obras de nuevas presas. El 40% de los proyectos de la Dirección Nacional de Vialidad incorporan la perspectiva climática desde su diseño. Al 2030: Todas las obras de infraestructura incorporan la variable climática en sus parámetros de diseño y en su evaluación. Se fijan niveles constructivos de las instalaciones por sobre Niveles de inundación recrecidos en el Río de la Plata por efecto del cambio climático. Se asegura en el diseño de las futuras obras de AySA las medidas tendientes a la eficiencia energética  tanto de los equipos como de las instalaciones.",
Todas las obras de infraestructura incorporan la variable,
limática en sus parámetros de diseño y en su evaluación.,
"Al 2023, se elabora un sistema de etiquetado de obras y/o proyectos para establecer criterios que faciliten la priorización de nuevos proyectos y la evaluación de proyectos ejecutados. Al 2025: Se incorpora la perspectiva climática desde la etapa de diseño en las obras de nuevas presas. El 40% de los proyectos de la Dirección Nacional de Vialidad incorporan la perspectiva climática desde su diseño. Al 2030: Todas las obras de infraestructura incorporan la variable climática en sus parámetros de diseño y en su evaluación. Se fijan niveles constructivos de las instalaciones por sobre Niveles de inundación recrecidos en el Río de la Plata por efecto del cambio climático. Se asegura en el diseño de las futuras obras de AySA las medidas tendientes a la eficiencia energética  tanto de los equipos como de las instalaciones.",
Al 2030,
"Al 2023, se elabora un sistema de etiquetado de obras y/o proyectos para establecer criterios que faciliten la priorización de nuevos proyectos y la evaluación de proyectos ejecutados. Al 2025: Se incorpora la perspectiva climática desde la etapa de diseño en las obras de nuevas presas. El 40% de los proyectos de la Dirección Nacional de Vialidad incorporan la perspectiva climática desde su diseño. Al 2030: Todas las obras de infraestructura incorporan la variable climática en sus parámetros de diseño y en su evaluación. Se fijan niveles constructivos de las instalaciones por sobre Niveles de inundación recrecidos en el Río de la Plata por efecto del cambio climático. Se asegura en el diseño de las futuras obras de AySA las medidas tendientes a la eficiencia energética  tanto de los equipos como de las instalaciones.",
"Al 2023, se elabora un sistema de etiquetado de obras y/o proyectos",
para establecer criterios que faciliten la priorización de nuevos,
proyectos y la evaluación de proyectos ejecutados.,
"Al 2023, se elabora un sistema de etiquetado de obras y/o proyectos para establecer criterios que faciliten la priorización de nuevos proyectos y la evaluación de proyectos ejecutados. Al 2025: Se incorpora la perspectiva climática desde la etapa de diseño en las obras de nuevas presas. El 40% de los proyectos de la Dirección Nacional de Vialidad incorporan la perspectiva climática desde su diseño. Al 2030: Todas las obras de infraestructura incorporan la variable climática en sus parámetros de diseño y en su evaluación. Se fijan niveles constructivos de las instalaciones por sobre Niveles de inundación recrecidos en el Río de la Plata por efecto del cambio climático. Se asegura en el diseño de las futuras obras de AySA las medidas tendientes a la eficiencia energética  tanto de los equipos como de las instalaciones.",
,
,"las afectaciones a la vivienda por inundaciones y a la conectividad y\ntransitabilidad de personas e insumos y servicios, por anegamientos\ny/o daños en rutas y caminos por eventos extremos."
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
Autoridad de aplicación,Ministerio de Obras Públicas\nAgua y Saneamientos Argentinos (AYSA)\nOrganismo Regulador de Seguridad de Presas (ORSEP)\nINPRES\nDirección Nacional de Vialidad (DNV)
Estado de implementación,En programación
Período de ejecución,2022 - 2030
Estimación de gastos al 2030,8.000 M de USD
Financiamiento,Tesoro Nacional\nFinanciamiento Externo
Instrumentos y herramientas de implementación,"Desarrollo del Ministerio de Obras Públicas en conjunto con el BID\nde un Sistema de Clasificación de proyectos u obras que\ncontribuyen en la mitigación y adaptación al cambio climático, y\nsu visualización a través de una botonera en la Plataforma\nhttps://mapainversiones.obraspublicas.gob.ar.\nLey de Seguridad de Presas (en proceso legislativo).\nNormativa Técnica de Seguridad de Presas."
Desarrollo del Ministerio de Obras Públicas en conjunto con el BID,
de un,
"Desarrollo del Ministerio de Obras Públicas en conjunto con el BID de un Sistema de Clasificación de proyectos u obras que contribuyen en la mitigación y adaptación al cambio climático, y su visualización a través de una botonera en la Plataforma https://mapainversiones.obraspublicas.gob.ar. Ley de Seguridad de Presas (en proceso legislativo). Normativa Técnica de Seguridad de Presas.",
Desarrollo del Ministerio de Obras Públicas en conjunto con el BID,
de un,
Necesidades y barreras,Ausencia de datos hidrometeorológicos que permitan efectuar\nproyecciones con certidumbre para la escala espacial requerida.\nAusencia de leyes y normativas que se refieran específicamente a\nsu consideración.
Indicadores para el monitoreo,A definir
Análisis enfoque de género y diversidad,No reportan impactos relativos al género.
Análisis enfoque de gestión integral del riesgo,Medida que genera reducción del riesgo climático.
Análisis enfoque de salud,"Medida que genera beneficios para la salud debido a que se promueve\nun diseño sostenible que mejore la eficiencia energética, así como en el\nconsumo de agua. Estas obras contribuirán a mejores condiciones de\nvida de la población. Dichos criterios podrán ser aplicados a la\nconstrucción de establecimientos de salud."
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,No se identifican sinergias ni concesiones con la reducción de\nemisiones del sector.
Relación con la Ley 27.520,Capítulo III: Plan Nacional de Adaptación y Mitigación al Cambio\nClimático. Artículo 18. Inc. e)\nCapítulo IV: Medidas y Acciones Mínimas de Adaptación. Artículo 22.\nInc. d)
Medida,[TS-13] Promover la adecuación de infraestructura crítica\nexistente para aumentar su resiliencia frente al cambio climático
,[TS-13] Promover la adecuación de infraestructura crítica
,existente para aumentar su resiliencia frente al cambio climático
Descripción,"Realización de estudios de análisis de riesgo considerando los\nescenarios de cambio climático para las distintas infraestructuras\ncríticas y ejecución de proyectos para adaptar la infraestructura crítica\nante los riesgos climáticos. Contempla obras de gran envergadura en\narticulación con provincias y/o Comités de Cuencas, y obras de menor\nenvergadura en articulación con municipios."
Metas,"Al 2023, se elabora un listado de infraestructura crítica por región.\nAl 2024, se elaboran los estudios de análisis de riesgo a las presas que\nse encuentran bajo jurisdicción de ORSEP.\nAl 2025, se elaboran estudios Probabilísticos y Determinísticos de\nAmenaza Sísmica para todas las represas que se encuentran bajo\njurisdicción de ORSEP (INPRES).\nAl 2030, se ejecutan obras para adecuar la infraestructura crítica en\nfunción de los criterios elaborados."
Alcance geográfico o poblacional,Nacional
"Adaptación, mitigación o pérdidas y daños",Adaptación
Riesgos climáticos asociados,"Esta medida aborda los riesgos vinculados a las afectaciones a la salud\npor inundaciones y por menor disponibilidad de agua y por cortes en el\nsuministro de energía, así como también los riesgos vinculados a las\nafectaciones a la vivienda por inundaciones y a la conectividad y\ntransitabilidad de personas e insumos y servicios, por anegamientos\ny/o daños en rutas y caminos por eventos extremos."
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
[TS-13] Promover la adecuación de infraestructura crítica existente para aumentar su resiliencia frente al cambio climático,
[TS-13] Promover la adecuación de infraestructura crítica,
existente para aumentar su resiliencia frente al cambio climático,
Autoridad de aplicación,Ministerio de Obras Públicas:\nOrganismo Regulador de Seguridad de Presas (ORSEP)\nInstituto Nacional de Prevención Sísmica (INPRES)\nDirección Nacional de Vialidad (DNV)
,Ministerio de Obras Públicas:
Estado de implementación,En implementación inicial
Período de ejecución,2017 - 2030
Estimación de gastos al 2030,USD 295.000\nNota: no incluye ejecución de obras.
Financiamiento,ORSEP:\nTesoro Nacional.\nFuentes internacionales (posible contribución de organismo\nmultilateral de crédito).\nDNV:\nTesoro Nacional.\nFuentes internacionales.\nINPRES:\nTesoro Nacional.\nFuentes provinciales y/o privadas que solicitan la tarea.
,ORSEP:
Instrumentos y herramientas de implementación,"Software de la Universidad de Oxford adquirido por la Dirección\nNacional de Vialidad.\nConvenios con organismos técnicos, nacionales y extranjeros,\npara realizar capacitación y trabajos | ORSEP.\nPrograma 66 de Prevención Sísmica del INPRES. Actividad 3.3:\nAsistencia Técnica - Estudios de la vulnerabilidad sísmica."
Ministerio de Obras Públicas: Organismo Regulador de Seguridad de Presas (ORSEP) Instituto Nacional de Prevención Sísmica (INPRES) Dirección Nacional de Vialidad (DNV),
Ministerio de Obras Públicas:,
ORSEP: Tesoro Nacional. Fuentes internacionales (posible contribución de organismo multilateral de crédito). DNV: Tesoro Nacional. Fuentes internacionales. INPRES: Tesoro Nacional. Fuentes provinciales y/o privadas que solicitan la tarea.,
ORSEP:,
,"Reglamento Argentino para Construcciones Sismorresistente,\nINPRES-CIRSOC 103."
Necesidades y barreras,Eventuales restricciones a las importaciones.\nDisponibilidad presupuestaria.\nGestión de permisos.\nVencimiento de los contratos de concesión.\nAgenda legislativa sobre Ley de Seguridad de presas.\nINPRES: incorporación de nuevos profesionales técnicos\nespecializados; actualización del equipamiento tecnológico para\nasegurar un desarrollo eficiente de la tarea a lo largo del tiempo;\naplicación efectiva del Reglamento INPRES-CIRSOC 103 en todas\nlas jurisdicciones de las provincias ubicadas en las zonas sísmicas\nde la Argentina; disponibilidad de fondos y restricción\npresupuestaria para la asignación de los recursos.
Indicadores para el monitoreo,"ORSEP:\nCantidad de presas con análisis de riesgo realizado/total de\nrepresas supervisadas por ORSEP\nINPRES:\nCantidad de informes elaborados\nInformes de estudios Probabilísticos y Determinísticos de\nPeligrosidad Sísmica, para periodos de retorno de 144, 500,\n1000, 3000 y 10000 años\nDesagregación de fuentes sísmicas y determinación del Peor\nEscenario Probable de ocurrir"
Análisis enfoque de género y diversidad,No reportan impactos relativos al género.
Análisis enfoque de gestión integral del riesgo,Medida que genera reducción del riesgo climático.
Análisis enfoque de,Medida que genera beneficios para la salud a partir de la adecuación
salud,"de infraestructuras críticas (presas, grandes puentes, acueductos, etc.).\nEntre la infraestructura crítica podemos identificar aquella que\nposibilita la accesibilidad al agua potable (acueductos) y las obras para\nreducir riesgo de inundaciones (defensas costeras, diques laminadores\nentre otras)."
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,No se identifican sinergias ni concesiones con la reducción de\nemisiones del sector.
Relación con la Ley 27.520,Capítulo III: Plan Nacional de Adaptación y Mitigación al Cambio\nClimático. Artículo 18. Inc. e).\nCapítulo IV: Medidas y Acciones Mínimas de Adaptación. Artículo 22.\nInc. e).
Medida,[TS-14] Fortalecer la infraestructura vial para mejorar la\nconectividad y transitabilidad de personas y cargas
,[TS-14] Fortalecer la infraestructura vial para mejorar la
,conectividad y transitabilidad de personas y cargas
Descripción,"Ejecución de obras nuevas, de conservación, mejoramiento, reparación\no rehabilitación, de emergencia, de pavimentación y de señalización de\nrutas, vías urbanas y caminos rurales.\nEsta medida incluye el desarrollo de obras viales que mejoran el flujo y\ncondiciones físicas del tránsito, evitando congestionamientos,\npromoviendo la fluidez y reduciendo el consumo de combustibles y la\nemisión de GEI, a través de la Dirección Nacional de Vialidad (DNV).\nTambién contempla obras de canalización y de puesta en valor de\nrotondas y accesos: Construcción de alcantarillas conforme Planos\nTipo de Vialidad Nacional; Prolongación de alcantarillas transversales\nexistentes, a través de Corredores Viales S.A. (CVSA)."
Metas,Al 2030:\nSe integran las 24 provincias a través de los corredores\nfederales de integración y desarrollo (CoFIDs).\nSe amplía la red de autopistas y autovías con la ejecución de\n4.149 km nuevos.\nLa red vial nacional se encuentra totalmente pavimentada.\nSe rehabilita y mantiene la red vial nacional para alcanzar el\nsiguiente estado: el 55% en estado BUENO; 35% en estado\nREGULAR y sólo el 10% en estado MALO.\nSe construye el Índice de Integración Territorial para Obras de\nInfraestructura Vial.
Alcance geográfico o poblacional,Nacional
"Adaptación, mitigación o pérdidas y daños",Adaptación
Riesgos climáticos asociados,La medida contribuye a la reducción de riesgos vinculados a la\nafectación a la transitabilidad y conectividad física de personas y\ntraslado de insumos por anegamientos y daños en rutas y caminos por
[TS-14] Fortalecer la infraestructura vial para mejorar la conectividad y transitabilidad de personas y cargas,
[TS-14] Fortalecer la infraestructura vial para mejorar la,
conectividad y transitabilidad de personas y cargas,
,"inundaciones y aludes. Además, disminuye riesgos a la salud por la\nfalta de acceso a instituciones de salud y riesgos de afectaciones a las\nactividades productivas y medios de vida por la falta de insumos. Esto\nse debe principalmente a que reduce la ocurrencia de cierres de tramos\no restricciones a la accesibilidad de los nodos y vías de comunicación\nen general en eventos de inundación."
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
Autoridad de aplicación,Ministerio de Obras Públicas:\nDirección Nacional de Vialidad\nCorredores Viales S.A.\nMinisterio de Desarrollo Territorial y Hábitat
Estado de implementación,En implementación inicial
Período de ejecución,2020 - 2030
Estimación de gastos al 2030,16.800 M de USD
Financiamiento,Tesoro Nacional\nFuentes internacionales
Instrumentos y herramientas de implementación,"Cronograma de Obra elaborado por CVSA, elevado a Vialidad\nNacional y aprobado.\nPlan Nacional de Obras Públicas “Argentina Grande”."
Necesidades y,A definir
barreras,
Indicadores para el monitoreo,"CVSA:\nCantidad de obras iniciadas.\nGrado de avance de la obra conforme cronograma.\nCantidad de obras finalizadas y con recepción definitiva por\nparte de la Comitente.\nDNV:\nCantidad de kilómetros de autopistas o autovías construidas.\nCantidad de kilómetros de rutas nacionales con obras de\npavimentación finalizadas.\nPorcentaje de la Red Vial Nacional en estado bueno, regular y\nmalo."
Análisis enfoque de género y diversidad,Potencialmente transformadora de las brechas de género.
Análisis enfoque de gestión integral del riesgo,Medida que genera reducción del riesgo climático.
Análisis enfoque de salud,Medida que genera beneficios para la salud dado que la mejora en la\ninfraestructura vial contribuye a la accesibilidad al sistema de salud.
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,No se identifican sinergias ni concesiones con la reducción de\nemisiones del sector.
Relación con la Ley 27.520,Capítulo III: Plan Nacional de Adaptación y Mitigación al Cambio\nClimático. Artículo 18. Inc. e).
,Capítulo IV: Medidas y Acciones Mínimas de Adaptación. Artículo 22.\nInc. d)
Medida,[TS-15] Ampliar la cobertura de los establecimientos de salud
,[TS-15] Ampliar la cobertura de los establecimientos de salud
Descripción,"Ejecución de obras de salud tales como centros de atención primaria\nde la salud, centros de atención sanitaria,  hospitales, salas de\nprimeros auxilios, entre otras.\nEn el marco de la infraestructura del cuidado, la infraestructura\nsanitaria comprende las acciones de construcción, ampliación y\nremodelación de centros de salud, hospitales modulares, centros de\natención primaria, unidades de pronta atención, hospitales de distinta\nescala y especialidad, postas sanitarias, laboratorios, centros de\ndiagnóstico, centros de aislamiento sanitario en establecimientos\ncarcelarios, entre otros, que permitan ampliar la capacidad sanitaria y\nde atención médica en todo el territorio nacional.\nLas obras incluyen las siguientes tipologías: Hospitales Modulares de\nEmergencia (HME), Centros Modulares Sanitarios (CMS), Centros de\nAislamiento Sanitario (CAS), Centros de Aislamiento Sanitario\nTurístico, Centros Modulares Sanitarios de Frontera."
Metas,"Al 2023, se ejecutan 280 obras y proyectos de infraestructura\nsanitaria."
Alcance geográfico o poblacional,Nacional
"Adaptación, mitigación o pérdidas y daños",Adaptación
Riesgos climáticos asociados,"Toda ejecución de obra que permita ampliar la cobertura de salud,\ntanto para comunidades en contexto urbano, como en poblaciones en\ncontexto rural, aporta a la reducción de riesgos de afectación a la salud\npor menor disponibilidad de agua, por inundaciones (y el consiguiente\ncontacto directo con aguas contaminadas), por eventos de olas de\ncalor y por aumento en los casos de dengue y otras enfermedades"
[TS-15] Ampliar la cobertura de los establecimientos de salud,
[TS-15] Ampliar la cobertura de los establecimientos de salud,
,transmitidas por vectores.\nEsto se debe a que la medida aborda de manera directa\nvulnerabilidades asociadas a bajos niveles de cobertura y accesibilidad\nde la atención sanitaria.
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
Autoridad de aplicación,Ministerio de Obras Públicas\nMinisterio de Salud
Estado de implementación,En implementación avanzada
Período de ejecución,A definir
Estimación de gastos al 2030,378.206.666 de USD
,378.206.666 de USD
Financiamiento,Tesoro Nacional\nFuentes internacionales (apoyo de la Oficina de las Naciones\nUnidas de Servicios para Proyectos (UNOPS))
Instrumentos y herramientas de implementación,Programa de Infraestructura Sanitaria (Resolución 167/2021)
Necesidades y barreras,A definir
Indicadores para el monitoreo,Cantidad de Obras finalizadas en el marco del Programa de\nInfraestructura Sanitaria
378.206.666 de USD,
378.206.666 de USD,
Análisis enfoque de género y diversidad,Potencialmente transformadora de las brechas de género.
Análisis enfoque de gestión integral del riesgo,Medida que genera reducción del riesgo climático.
Análisis enfoque de salud,Medida que genera beneficios para la salud dado que contribuye a la\naccesibilidad al sistema de salud a partir de la construcción de\nestablecimiento de salud de diferente complejidad.
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,No se identifican sinergias ni concesiones con la reducción de\nemisiones del sector.
Relación con la Ley 27.520,Capítulo III: Plan Nacional de Adaptación y Mitigación al Cambio\nClimático. Artículo 19 Inc. c).\nCapítulo IV: Medidas y Acciones Mínimas de Adaptación. Artículo 22.\nInc. b) y d).
Medida,[TS-16] Fortalecer las capacidades de los gobiernos locales para\nel ordenamiento ambiental estratégico del territorio con\nenfoque de gestión integral de riesgos y adaptación al cambio\nclimático
,[TS-16] Fortalecer las capacidades de los gobiernos locales para
,el orden
Descripción,"Promover procesos de planificación integrales para las ciudades, sus\nperiurbanos productivos y las áreas no urbanizadas con funciones\nambientales y/o productivas, buscando fortalecer las capacidades\nestatales de gestión del suelo."
Metas,"Al 2023, se realiza concurso de Propuestas Innovadoras de\nPlanificación, Desarrollo Territorial y Políticas de Suelo;\nAl 2025:\nSe realizan capacitaciones y Asistencia en Técnicas de\nPlanificación y Ordenamiento Territorial a entes ejecutores en\n12 provincias.\nEn 12 provincias los entes ejecutores aumentaron sus\nconocimientos respecto al ordenamiento ambiental\nestratégico con enfoque de gestión integral del riesgo y\nadaptación al cambio climático.\nAl 2027:\nSe presentan 2 Proyectos Legislativos sobre Desarrollo\nTerritorial.\nSe generan registros de suelo apto para programas\nhabitacionales y proyectos urbanos."
Alcance geográfico o poblacional,Nacional
"Adaptación, mitigación o pérdidas y daños",Adaptación
Riesgos climáticos asociados,El fortalecimiento de capacidades a organismos provinciales a través\nde la elaboración de instrumentos y capacitaciones para el\nfortalecimiento del ordenamiento ambiental estratégico del territorio\ncon enfoque de gestión integral de riesgos y adaptación reduce\nriesgos asociados a inundaciones de comunidades urbanas ya que
[TS-16] Fortalecer las capacidades de los gobiernos locales para el ordenamiento ambiental estratégico del territorio con enfoque de gestión integral de riesgos y adaptación al cambio climático,
[TS-16] Fortalecer las capacidades de los gobiernos locales para,
el orden,
,"podría impedir el establecimiento de áreas residenciales en espacios\npotencialmente anegables. Además, podría atenuar los efectos de las\nolas de calor mediante la planificación de la ubicación de áreas verdes."
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
Autoridad de aplicación,Ministerio de Desarrollo Territorial y Hábitat
Estado de implementación,En implementación avanzada
Período de ejecución,2022 - 2027
Estimación de gastos al 2030,A definir
Financiamiento,Tesoro Nacional\nFuentes internacionales
Instrumentos y herramientas de implementación,Convenios con IPVs o Ministerios provinciales y normativa local.
Necesidades y barreras,"Necesidad de una mayor articulación con entidades nacionales,\nprovinciales y municipales, públicas y privadas\nNecesidad de planificar demanda por Provincia"
Indicadores para el monitoreo,Cantidad de capacitaciones a entes ejecutores\nCantidad de registros de suelo apto
Análisis enfoque de género y diversidad,Potencialmente transformadora de las brechas de género.
Análisis enfoque de gestión integral del riesgo,Medida que genera reducción del riesgo climático.
,Medida que genera reducción del riesgo climático.
Análisis enfoque de salud,"Medida que genera beneficios para la salud dado que a partir del\nordenamiento ambiental del territorio se pueden reducir muchos\nriesgos para la salud asociados a actividades productivas. Además, se\npuede garantizar el acceso al espacio verde urbano donde realizar\nactividad física y esparcimiento."
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,No se identifican sinergias ni concesiones con la reducción de\nemisiones del sector.
